document_id,coherence_relation,rstdt_relation,rstdt_nuclearity,verb,coreference_type,context,pronominalization,12person,proAntecedent,subject_or_not,non_subject_or_not
wsj_2373,narration,Inverted-Sequence,NN,be,subject,"I am in the communications field, above entry level.//I was laid off in August 1988, and after a thorough and exhausting job search, was hired in August 1989.
My unemployment insurance ran out before I found a job; I found cutbacks and layoffs in many companies.",pronoun,TRUE,TRUE,subject,not_non_subject
wsj_1171,narration,Sequence,NN,open,subject,"At first UAL didn't open because of an order imbalance.//When it did a half-hour into the session, it was priced at $150 a share, down more than $28 from Monday's close.
It sank further to as low as $145, but a big rally developed in the last half hour, pushing the stock back up to close at $170, down just $8.375 from Monday.",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_1171,narration,Sequence,NN,say,other,"Big Board traders said a 200,000-share buy order at $150 a share entered by Bear, Stearns & Co., which was active in UAL stock all day, is what set off the UAL crowd in the late afternoon.//A subsequent rally in UAL helped the staggering stock market stage an astonishing recovery from an 80-point deficit to finish only slightly below Monday's close.",non pronoun,other,other,not_subject,not_non_subject
wsj_1171,narration,Sequence,NN,post,non_subject,"And at 9:15, they posted a $135 to $155 ""first indication,"" or the price range in which the stock would probably open.//That range was quickly narrowed to $145 to $155, although traders surrounding the post were told that $148 to $150 would be the likely target.",non pronoun,non_subject,non_subject,not_subject,non_subject
wsj_1376,narration,Sequence,NN,reel,subject,"As Helen Boehm, who owns an art porcelain company, sipped her luncheon cocktail, she reeled off the names of a few pals -- Prince Charles, Princess Diana, Sarah Ferguson, John Kluge, Milton Petrie.//Then, flashing a diamond ring as big as the Ritz (""my day diamond, darling""), she told her two companions that she is on the ""board"" of the Vatican Museum in Rome.",pronoun,FALSE,TRUE,subject,not_non_subject
wsj_0688,narration,Sequence,NN,restructure,other,"A few years ago, Mobil restructured the entire company during an industrywide shakeout.//But since then U.S. oil production has declined and Mobil wants to focus its oil-finding efforts overseas.",non pronoun,other,other,not_subject,not_non_subject
wsj_1157,narration,Sequence,NN,report,non_subject,"Last March, this newspaper reported on widespread allegations that the company misled many customers into purchasing more credit-data services than needed.//In June, the company agreed to settle for $18 million several lawsuits related to its sales practices, without admitting or denying the charges.
An investigation by U.S. Postal inspectors is continuing.",non pronoun,non_subject,non_subject,not_subject,non_subject
wsj_1305,narration,Sequence,NN,begin,other,"The effort to create the nation's largest employee-owned company began unraveling Oct. 13 when the labor-management group was unable to obtain financing for its $300-a-share, $6.79 billion offer.//Just last week it suffered another major setback when British Airways PLC, the largest equity investor in the labor-management bid, withdrew its support.",non pronoun,other,other,not_subject,not_non_subject
wsj_2326,narration,temporal-before,NS,send,other,"The Bush administration has sent conflicting signals about its export-control policies, reflecting unhealed divisions among several competing agencies.//Last summer, Mr. Bush moved the administration in the direction of gradual liberalization when he told a North Atlantic Treaty Organization meeting that he would allow some exceptions to the Cocom embargo of strategic goods.",non pronoun,other,other,not_subject,not_non_subject
wsj_1146,narration,temporal-after,SN,be,other,"Until 1963, it was good soil.//Then the state put in a reservoir to supply the area with drinking water.",non pronoun,other,other,not_subject,not_non_subject
wsj_1146,narration,Sequence,NN,leave,other,The farmer leaves.//And the naczelnik shuts his door.,non pronoun,other,other,not_subject,not_non_subject
