document_id,coherence_relation,verb,coreference_type,context,pronominalization,12person,proAntecedent,subj_antecedent_type,subject_or_not,non_subject_or_not
mz/sinorama/10/ectb_1049,narration,take,non_subject,"In the mid-17th century , China took control of Taiwan , and closed Tanshui to international trade .//Later , as a result of the Sino - French war of 1884 , Tanshui was again opened up to Western access .",non pronoun,non_subject,non_subject,non_pronoun,not_subject,non_subject
mz/sinorama/10/ectb_1069,narration,take,subject,"Those people who are always complaining about their lot in life should take a walk around a cancer ward , "" Li says .//Then they 'll realize how lucky they are . """,pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
mz/sinorama/10/ectb_1059,narration,visit,subject,"In 1983 the then - provincial governor Lee Teng - hui visited the town and praised the quality of its black pearl wax apples , so assuring the renown of the fruit .//Subsequently , as president , Lee Teng - hui often gave gifts of black pearl wax apples to foreign dignitaries .",non pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
mz/sinorama/10/ectb_1009,narration,begin,subject,"After three years , they began in 1992 to invest massively on the mainland , establishing computer mouse production lines .//Thereafter , Primax launched new products every year : cellular phone parts , overhead projectors , paper shredders , scanners . . .",non pronoun,False,pronoun,other_pronoun,subject,not_non_subject
bc/cctv/00/cctv_0005,narration,happen,non_subject,"It happened that I was going to have lunch with a friend , um , at noon .//And then , the friend first sent me an SMS , Uh-huh . saying he would come pick me up to go together .",non pronoun,non_subject,non_subject,other_pronoun,not_subject,non_subject
bc/cctv/00/cctv_0005,narration,send,non_subject,"And then , the friend first sent me an SMS , Uh-huh . saying he would come pick me up to go together .//After that , I received an SMS from 1860 .",pronoun,non_subject,non_subject,non_pronoun,not_subject,non_subject
bc/cctv/00/cctv_0005,narration,be,other,"Well , it is unusual for me to enjoy a very pleasant morning .//We then reminded everyone to wear extra clothing .",pronoun,other,other,non_pronoun,not_subject,not_non_subject
bc/cctv/00/cctv_0005,narration,be,subject,"Because they were exposed , The water pipes were not --//after that , yes , these were not damaged .",non pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
bc/phoenix/00/phoenix_0003,narration,want,other,"I want to go home . ""//Later , the mother was moved and brought , this girl home and had the grandparents look after her .",non pronoun,other,other,first_second_pronoun,not_subject,not_non_subject
bc/phoenix/00/phoenix_0003,narration,find,subject,"When she came back one time in between work , she found that the girl 's body was dotted with red marks and red swellings .//She then discovered ah , um , the grandparents had not washed her clothes for a very long time .",pronoun,False,pronoun,other_pronoun,subject,not_non_subject
bc/phoenix/00/phoenix_0003,narration,say,non_subject,"She said that I was losing honor for not doing well at school !//Then I cried and after that , my mother cried , too .",pronoun,non_subject,non_subject,other_pronoun,not_subject,non_subject
bc/phoenix/00/phoenix_0003,narration,tell,non_subject,"However , one time we visited him , his um , family told us that he was second in his class in his examination .//After that , he became extremely , extremely , annoyed .",pronoun,non_subject,non_subject,non_pronoun,not_subject,non_subject
bc/msnbc/00/msnbc_0007,narration,say,subject,we say they 're unacceptable /.//and then we tolerate and accept /.,pronoun,True,pronoun,first_second_pronoun,subject,not_non_subject
bc/msnbc/00/msnbc_0007,narration,+ask,non_subject,You do n't +ask I think the simple question have they fooled us before /.//then do n't let them fool us again /.,pronoun,non_subject,non_subject,first_second_pronoun,not_subject,non_subject
wb/c2e/00/c2e_0039,narration,be,other,"So the next day I got up at 7:00 and ran over to chat for an hour ; that guy was nice , did n't embarrass me , so after an hour it ended happily .//After that the boss took me to the home office , and on the way he gave me an oral offer , and he said it would not be easy for me to come right away , that I should do the physical exam immediately and do all the paperwork , wait until after New Year 's , and the HR director would return and turn in the H1 .",non pronoun,other,other,non_pronoun,not_subject,not_non_subject
wb/c2e/00/c2e_0039,narration,take,non_subject,"After that the boss took me to the home office , and on the way he gave me an oral offer , and he said it would not be easy for me to come right away , that I should do the physical exam immediately and do all the paperwork , wait until after New Year 's , and the HR director would return and turn in the H1 .//Then I went straight for the physical , and I filled out the application form , reference list , etc.",pronoun,non_subject,non_subject,non_pronoun,not_subject,non_subject
tc/ch/00/ch_0009,narration,do,subject,"I had friends there . She did a course in Taiwa//and then she came over here , and %um , checked out a room here .",pronoun,False,pronoun,other_pronoun,subject,not_non_subject
tc/ch/00/ch_0009,narration,get,subject,"You still got another month .//And then , are you coming over to the States at all this summer ?",pronoun,True,pronoun,first_second_pronoun,subject,not_non_subject
tc/ch/00/ch_0009,narration,be,other,"It was about eighty percent for a while .//And then %um , I 'm not exactly sure what it is now .",pronoun,other,other,other_pronoun,not_subject,not_non_subject
tc/ch/00/ch_0009,narration,do,subject,but I have n't done it .//and then I saw in the %um Tufts thing that Ginny Totta you know in the alumni thing is living in the,pronoun,True,pronoun,first_second_pronoun,subject,not_non_subject
tc/ch/00/ch_0049,narration,'s,other,"If you dial in Holland , it 's zero one eight one zero . okay in Holland//and then yeah you can just call up",pronoun,other,other,other_pronoun,not_subject,not_non_subject
pt/nt/66/nt_6609,narration,blow,other,The fifth angel blew his trumpet .//Then I saw a star fall from the sky to the earth .,pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/66/nt_6609,narration,give,subject,The star was given the key to the deep hole that leads down to the bottomless pit .//Then the star opened the hole leading to the pit .,non pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
pt/nt/66/nt_6609,narration,become,other,The sun and sky became dark because of the smoke from the hole .//Then locusts came out of the smoke and went down to the earth .,non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/66/nt_6609,narration,blow,other,The sixth angel blew his trumpet .//Then I heard a voice coming from the horns on the four corners of the golden altar that is before God .,pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/66/nt_6619,narration,rise,other,She is burning and her smoke will rise forever and ever . ''//Then the 24 elders and the four living beings bowed down .,non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/66/nt_6619,narration,mean,other,"-LRB- The fine linen means the good things that God 's holy people did . -RRB-//Then the angel said to me , `` Write this : Great blessings belong to those who are invited to the wedding meal of the Lamb ! ''",non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/66/nt_6619,narration,say,subject,"Then the angel said to me , `` Write this : Great blessings belong to those who are invited to the wedding meal of the Lamb ! ''//Then the angel said , `` These are the true words of God . ''",non pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
pt/nt/66/nt_6619,narration,say,other,"Then the angel said , `` These are the true words of God . ''//Then I bowed down before the angel 's feet to worship him .",pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/66/nt_6619,narration,be,other,Because the truth of Jesus is the spirit of prophecy . ''//Then I saw heaven open .,pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/58/nt_5809,narration,make,other,Everything in the tent was made ready in the way I have explained .//Then the priests went into the first room every day to do their worship duties .,non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/58/nt_5809,narration,tell,subject,"First , Moses told the people every command in the law .//Then he took the blood of young bulls and mixed it with water .",pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
pt/nt/58/nt_5809,narration,use,subject,"He used red wool and a branch of hyssop to sprinkle the blood and water on the book of the law and on all the people .//Then he said , `` This is the blood that makes the agreement good -- the agreement that God commanded you to follow . ''",pronoun,False,pronoun,other_pronoun,subject,not_non_subject
pt/nt/58/nt_5809,narration,die,subject,Everyone must die once .//Then they are judged .,pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
pt/nt/42/nt_4209,narration,tell,non_subject,"When the apostles came back , they told Jesus what they had done on their trip .//Then he took them away to a town called Bethsaida .",pronoun,non_subject,non_subject,other_pronoun,not_subject,non_subject
pt/nt/42/nt_4209,narration,sit,other,So the followers did this and everyone sat down .//Then Jesus took the five loaves of bread and two fish .,non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/42/nt_4209,narration,look,subject,"He looked up into the sky and thanked God for the food .//Then he broke it into pieces , which he gave to the followers to give to the people .",pronoun,False,pronoun,other_pronoun,subject,not_non_subject
pt/nt/42/nt_4209,narration,say,non_subject,"And some people say you are one of the prophets from long ago that has come back to life . ''//Then Jesus said to his followers , `` And who do you say I am ? ''",non pronoun,non_subject,non_subject,non_pronoun,not_subject,non_subject
pt/nt/42/nt_4209,narration,warn,subject,"Jesus warned them not to tell anyone .//Then Jesus said , `` The Son of Man must suffer many things .",non pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
pt/nt/42/nt_4209,narration,become,other,"His clothes became shining white .//Then two men were there , talking with him .",non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/42/nt_4209,narration,be,subject,"How long must I be with you and be patient with you ? ''//Then Jesus said to the man , `` Bring your son here . ''",non pronoun,True,pronoun,first_second_pronoun,subject,not_non_subject
pt/nt/42/nt_4209,narration,give,other,"But Jesus gave a strong command to the evil spirit .//Then the boy was healed , and Jesus gave him back to his father .",non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/42/nt_4209,narration,take,subject,"Jesus knew what they were thinking , so he took a little child and stood the child beside him .//Then he said to the followers , `` Whoever accepts a little child like this in my name is accepting me .",pronoun,False,pronoun,other_pronoun,subject,not_non_subject
pt/nt/42/nt_4209,narration,turn,other,But Jesus turned and criticized them for saying this .//Then he and his followers went to another town .,non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/42/nt_4219,narration,run,subject,So he ran to a place where he knew Jesus would come .//Then he climbed a sycamore tree so he could see him .,pronoun,False,pronoun,other_pronoun,subject,not_non_subject
